,request_type,request_uri,request_body,response_code,response_time_microseconds
42,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":[]}]",400,1840.0
43,POST,/petclinic/api/vets,"{""enabled"":false,""password"":""fuzzstring"",""username"":""fuzzstring""",400,1488.0
44,POST,/petclinic/api/visits,"{""id"":""fuzzstring"",""name"":false",400,1309.0
45,POST,/petclinic/api/vets,"{""id"":0,""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false}",400,1698.0
46,PUT,/petclinic/api/pets/petid,"{""id"":56,""name"":""test3""",400,2079.0
47,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0,""name"":0}]",400,1481.0
48,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":false,""specialties"":[{""id"":0,""name"":[]}]",400,1579.0
49,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""fuzz"":false}}]",200,2954.0
50,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":""fuzzstring"",""lastName"":""fuzzstring"",""specialties"":{""fuzz"":false}",400,1501.0
51,POST,/petclinic/health/1,"{""id"":[],""name"":""fuzzstring"",""name"":""fuzzstring""",404,3414.0
52,POST,/petclinic/api/vets,"{""enabled"":""fuzzstring"",""password"":""false"",""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":""0""",400,1578.0
53,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false}",200,3094.0
54,POST,/petclinic/api/visits,"{""id"":0,""name"":false",400,1618.0
55,GET,/petclinic/api/specialties/1,"{""id"":0,""name"":[{""id"":0,""name"":""fuzzstring""}]",200,1960.0
56,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""name"":""fuzzstring""}]",400,2710.0
57,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":false,""specialties"":[{""id"":0,""name"":[]}]",400,2419.0
58,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":""fuzzstring"",""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,2240.0
59,GET,/petclinic/api/specialties/1,"{""id"":6784,""name"":""test3""",200,2452.0
60,DELETE,/petclinic/api/visits/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false}",404,2364.0
61,POST,/petclinic/api/visits,"{""id"":0,""name"":""Unknown""",400,1882.0
62,POST,/petclinic/api/visits,"{""id"":""fuzzstring"",""name"":[]",400,1408.0
63,POST,/petclinic/api/vets,"{""firstName"":0,""id"":0,""lastName"":[],""specialties"":[{""id"":0}]",400,1320.0
64,DELETE,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0}]",404,2202.0
65,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""lastName"":""fuzzstring""",400,1687.0
66,POST,/petclinic/api/specialties/1,"{""id"":6784,""name"":""fuzzstring""",400,1827.0
67,GET,/petclinic/api/visits/1,"{""specialties"":[{""fuzz"":false}",404,2554.0
68,PUT,/petclinic/api/vets/1,"{""specialties"":[{""id"":0,""name"":""fuzzstring""}],""username"":""fuzzstring""",400,1599.0
69,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":{""fuzz"":false},""name"":""fuzzstring""}]",400,1270.0
70,PUT,/petclinic/api/petid,"{""id"":6784,""name"":""Unknown""",404,2519.0
71,GET,/petclinic/api/vets/1,"{""lastName"":false",404,3412.0
72,GET,/petclinic/api/specialties/1,"{""id"":""fuzzstring"",""name"":""fuzzstring""",200,3417.0
73,POST,/petclinic/api/visits,"{""id"":6784,""name"":""test3""",400,1690.0
74,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""name"":{""fuzz"":false}}]",400,1385.0
75,POST,/petclinic/api/vets,"{""enabled"":0,""password"":""test3""",400,1765.0
76,GET,/petclinic/api/specialties/1,"{""firstName"":""fuzzstring"",""id"":1,""lastName"":""fuzzstring"",""specialties"":[{""id"":1,""name"":""fuzzstring""}],""specialties"":[{""id"":0,""name"":""fuzzstring""}]",200,2570.0
77,POST,/petclinic/api/vets,"{""firstName"":{""fuzz"":false},""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""name"":{""fuzz"":false}}]",400,1612.0
78,POST,/petclinic/api/vets,"{""enabled"":false,""password"":""false"",""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":""false""",400,1637.0
79,PUT,/petclinic/api/vets/1,"{""firstName"":[],""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""name"":""fuzzstring""}]",400,1500.0
80,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""name"":{""fuzz"":false}}]",400,1333.0
81,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1392.0
82,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""id"":0}]",200,3255.0
83,GET,/petclinic/api/specialties/1,"{""id"":6784,""name"":""Unknown""",200,2079.0
84,POST,/petclinic/api/visits,"{""date"":""yyyy/MM/dd"",""description"":""test3"",""id"":0,""pet"":{""fuzz"":true}",400,1691.0
85,GET,/petclinic/api/vets,"{""firstName"":[],""id"":0,""lastName"":0,""specialties"":[{""id"":[0]}]",200,2975.0
86,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":0}]",400,1846.0
87,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""end"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1619.0
88,GET,/petclinic/api/specialties/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0}]",200,2100.0
89,GET,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":[],""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":0}]",404,2334.0
90,POST,/petclinic/api/specialties/1,"{""id"":0,""name"":""fuzzstring""",400,1602.0
91,GET,/petclinic/api/vets,"{""specialties"":0",200,3459.0
92,POST,/petclinic/api/users,"{""enabled"":false,""password"":0,""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":0",400,1781.0
93,POST,/petclinic/api/vets/1,"{""id"":[],""name"":""fuzzstring""",400,1488.0
94,POST,/petclinic/health/1,"{""name"":false",404,2020.9999999999998
95,POST,/petclinic/api/vets/1,"{""id"":0,""name"":""fuzzstring""",400,1527.0
96,POST,/petclinic/api/vets/1,"{""fuzz"":false",400,1372.0
97,PUT,/petclinic/api/vets/1,"{""id"":[],""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""id"":0}]",400,1533.0
98,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":{""fuzz"":false},""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",400,1547.0
99,POST,/petclinic/api/visits,"{""id"":false,""name"":[]",400,1478.0
100,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""id"":0}]",400,1333.0
101,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""name"":{""fuzz"":false}}]",400,1502.0
102,POST,/petclinic/api/vets,"{""enabled"":false,""password"":0,""roles"":[{""id"":0,""name"":0}],""username"":""0""",400,1984.9999999999998
103,PUT,/petclinic/api/vets/1,"{""specialties"":[{""id"":0,""name"":""fuzzstring""}],""username"":0",400,2074.0
104,POST,/petclinic/api/vets/1,"{""lastName"":{""fuzz"":false}",400,2202.0
105,POST,/petclinic/api/visits,"{""id"":0,""name"":""fuzzstring""",400,2068.0
106,POST,/petclinic/api/visits,"{""id"":1,""name"":""fuzzstring2""",400,1576.0
107,POST,/petclinic/api/vets,"{""enabled"":0,""password"":""fuzzstring2"",""username"":""fuzzstring""",400,1970.0
108,DELETE,/petclinic/api/vets/1,"{""specialties"":[{""id"":0,""name"":""fuzzstring""}]",404,2234.0
109,GET,/petclinic/api/specialties/1,"{""id"":1,""name"":""fuzzstring2""",200,2100.0
110,POST,/petclinic/api/users,"{""enabled"":false,""password"":""fuzzstring"",""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":false",400,1746.0
111,GET,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""id"":0,""name"":""fuzzstring""}]",404,2064.0
112,POST,/petclinic/api/users,"{""enabled"":false,""password"":[],""roles"":[{""name"":""ROLE_0""}],""username"":""fuzzstring""",400,1478.0
113,POST,/petclinic/api/vets/1,"{""firstName"":0,""id"":0,""lastName"":[],""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1510.0
114,POST,/petclinic/api/vets,"{""date"":""yyyy/MM/dd"",""timestamp"":""yyyy/MM/dd"",""pets"":[{""fuzz"":true}]",400,1642.0
115,POST,/petclinic/api/visits,"{""id"":0,""name"":]",400,1323.0
116,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":{""fuzz"":false},""lastName"":{""fuzz"":false},""specialties"":[{""id"":0}]",400,1327.0
117,POST,/petclinic/api/specialties/1,"{""id"":6784,""name"":""test3""",400,1499.0
118,POST,/petclinic/api/specialties/1,"{""id"":56,""name"":""Unknown""",400,1344.0
119,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0}]",200,2740.0
120,POST,/petclinic/api/users,"{""enabled"":false,""password"":[],""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":0",400,1870.0
121,DELETE,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":""fuzzstring"",""name"":""fuzzstring""}]",404,1887.0
122,POST,/petclinic/api/visits,"{""id"":[],""name"":""fuzzstring""",400,1472.0
123,PUT,/petclinic/api/vets/1,"{""firstName"":[],""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""name"":0}]",400,1604.0
124,POST,/petclinic/api/visits,"{""date"":""yyyy/MM/dd"",""description"":""test3"",""id"":1,""pet"":{""id"":1,""name"":""test3""}",400,1396.0
125,GET,/petclinic/api/visits/1,"{""id"":false",404,2212.0
126,POST,/petclinic/api/visits,"{""date"":""yyyy/MM/dd"",""description"":""fuzzstring"",""id"":1,""pet"":""name"":""fuzzstring2"",""pet"":""id"":1,""pet"":""name"":""test3"",""pet"":""id"":56,""pet"":""id"":1,""pet"":""name"":""Unknown""",400,2190.0
127,POST,/petclinic/api/visits,"{""roles"":[{""id"":0}],""username"":[]",400,1743.0
128,DELETE,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1678.0
129,POST,/petclinic/api/users,"{""roles"":[{""name"":""ROLE_0""}],""username"":""fuzzstring""",400,1681.0
130,POST,/petclinic/api/visits,"{""roles"":[{""id"":{""fuzz"":false}}],""username"":""ROLE_0""",400,1513.0
131,POST,/petclinic/api/vets,"{""date"":""fuzzstring"",""date"":""yyyy/MM/dd"",""petid"":0,""name"":""fuzzstring""",400,1726.0
132,POST,/petclinic/api/vets,"{""id"":0,""firstName"":{""fuzz"":false}",400,1572.0
133,DELETE,/petclinic/api/visits/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",404,1788.0
134,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1355.0
135,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":6784,""lastName"":{""fuzz"":false},""specialties"":[{""id"":6784,""name"":""fuzzstring""}]",400,1752.0
136,GET,/petclinic/api/vets/1,"{""specialties"":0",404,2212.0
137,POST,/petclinic/api/pets,"{""id"":0,""name"":""Unknown""",400,1739.0
138,GET,/petclinic/api/visits/1,"{""specialties"":[""fuzzstring""]",404,2200.0
139,GET,/petclinic/api/vets,"{""specialties"":[0]",200,2745.0
140,POST,/petclinic/api/visits,"{""pet"":0,""date"":{""fuzz"":false}",400,1536.0
141,GET,/petclinic/api/vets/1,"{""firstName"":false,""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":0}]",404,2231.0
142,POST,/petclinic/api/visits,"{""enabled"":false,""password"":{""fuzz"":false}}],""username"":""fuzzstring""",400,1574.0
143,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",400,1311.0
144,PUT,/petclinic/api/vets/1,"{""firstName"":false,""id"":0,""lastName"":[],""end"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1520.0
145,GET,/petclinic/api/specialties/1,"{""id"":{""fuzz"":false}",200,1880.0
146,POST,/petclinic/api/vets/1,"{""name"":{""fuzz"":false}",400,1295.0
147,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""fuzz"":false}}]",400,1947.0
148,POST,/petclinic/api/vets/1,"{""specialties"":{""fuzz"":false}",400,1505.0
149,POST,/petclinic/api/vets,"{""id"":0,""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""id"":0}]",400,1297.0
150,POST,/petclinic/api/vets,"{""firstName"":0,""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1493.0
151,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":[],""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1496.0
152,POST,/petclinic/api/vets/1,"{""lastName"":[]",400,1224.0
153,POST,/petclinic/api/specialties/1,"{""id"":false,""name"":0",400,1192.0
154,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""firstName"":""fuzzstring"",""id"":0,""lastName"":false,""specialties"":[{""id"":0,""name"":0}]",400,1739.0
155,POST,/petclinic/api/vets/1,"{""specialties"":[""fuzzstring""]",400,1419.0
156,DELETE,/petclinic/api/visits/1,"{""lastName"":{""fuzz"":false}",404,2117.0
157,GET,/petclinic/api/visits/1,"{""lastName"":false",404,2308.0
158,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1395.0
159,POST,/petclinic/api/vets/1,"{""specialties"":[{""id"":{""fuzz"":false}}]",400,1189.0
160,POST,/petclinic/api/vets/1,"{""firstName"":[],""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,2347.0
161,PUT,/petclinic/api/pets/petid,"{""id"":0,""name"":""Unknown""",400,1712.0
162,GET,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":{""fuzz"":false},""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",404,1886.0
163,POST,/petclinic/health/1,"{""id"":1,""name"":""test3""",404,2514.0
164,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":""fuzzstring""",200,2695.0
165,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":{""fuzz"":false},""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,2846.0
166,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":false}]",400,1958.9999999999998
167,GET,/petclinic/api/visits/1,"{""firstName"":0",404,2309.0
168,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0,""name"":0}]",400,1886.0
169,GET,/petclinic/api/specialties/1,"{""name"":[]",200,2265.0
170,POST,/petclinic/api/users,"{""enabled"":false,""password"":""0"",""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":0",400,1574.0
171,POST,/petclinic/api/vets,"{""firstName"":[],""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1379.0
172,PUT,/petclinic/api/vets/1,"{""specialties"":{""fuzz"":false}]",400,1398.0
173,PUT,/petclinic/api/petid,"{""id"":6784,""name"":""fuzzstring""",404,1922.0
174,POST,/petclinic/api/vets,"{""enabled"":true,""password"":""fuzzstring2"",""username"":""test3""",400,1499.0
175,GET,/petclinic/api/specialties/1,"{""id"":[],""name"":""fuzzstring""",200,2583.0
176,GET,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":[{""id"":0,""name"":0}]",404,1917.0
177,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":{""fuzz"":false},""fuzzstring"":0",400,1685.0
178,DELETE,/petclinic/api/visits/1,"{""firstName"":{""fuzz"":false},""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0}]",404,1718.0
179,DELETE,/petclinic/api/vets/1,"{""specialties"":[{""id"":0}]",404,1538.0
180,POST,/petclinic/api/visits,"{""roles"":[{""fuzz"":false}}],""username"":""ROLE_0""",400,2239.0
181,GET,/petclinic/api/specialties/1,"{""id"":""fuzzstring""",200,2465.0
182,POST,/petclinic/health/1,"{""fuzz"":false",404,2784.0
183,GET,/petclinic/api/specialties/1,"{""id"":false,""name"":""fuzzstring""",200,2083.0
184,POST,/petclinic/api/specialties/1,"{""id"":0,""name"":[]",400,1509.0
185,GET,/petclinic/api/visits/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,""specialties"":""fuzzstring""",404,2338.0
186,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":{""fuzz"":false},""lastName"":""fuzzstring""",400,1652.0
187,POST,/petclinic/api/vets,"{""enabled"":false,""password"":0,""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":false",400,1358.0
188,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":false,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1561.0
189,DELETE,/petclinic/api/visits/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""id"":0}]",404,1835.0
190,POST,/petclinic/api/vets/1,"{""id"":0,""name"":{""fuzz"":false}",400,1446.0
191,GET,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[[]]",200,3479.0
192,GET,/petclinic/api/users,"{""enabled"":false,""password"":""fuzzstring"",""roles"":[{""id"":0,""name"":""ROLE_0""}],""username"":""fuzzstring""",400,1727.0
193,POST,/petclinic/api/pets,"{""id"":0,""name"":""test3""",400,1373.0
194,DELETE,/petclinic/api/visits,"{""id"":0,""name"":""fuzzstring""",400,1407.0
195,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":0,"","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{""fuzz"":true}}",400,1455.0
196,POST,/petclinic/api/visits,"{""id"":0,""name"":[]",400,1289.0
197,DELETE,/petclinic/api/visits/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",404,2189.0
198,POST,/petclinic/api/vets/1,"{""firstName"":false,""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1538.0
199,GET,/petclinic/api/visits/1,"{""lastName"":0",404,1908.0
200,DELETE,/petclinic/api/visits/1,"{""specialties"":[{""name"":""fuzzstring""}]",404,1721.0
201,GET,/petclinic/api/vets/1,"{""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",404,1938.0
202,POST,/petclinic/api/specialties/1,"{""id"":56,""name"":""fuzzstring""",400,1536.0
203,POST,/petclinic/api/specialties/1,"{""id"":1,""name"":""fuzzstring""",400,1863.0
204,POST,/petclinic/api/vets,"{""specialties"":[{""fuzz"":false}}]",400,1838.0
205,POST,/petclinic/api/users,"{""roles"":[{""name"":{""fuzz"":false}}],""username"":""fuzzstring""",400,1372.0
206,PUT,/petclinic/api/vets/1,"{""firstName"":{""fuzz"":false},""id"":6784,""lastName"":""fuzzstring"",""specialties"":[{""id"":6784,""name"":{""fuzz"":false}}]",400,1419.0
207,GET,/petclinic/api/specialties/1,"{""id"":0,""name"":""test3""",200,2375.0
208,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring""",400,1944.0
209,PUT,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false}",400,1781.0
210,POST,/petclinic/api/vets/1,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":{""fuzz"":false},""name"":""fuzzstring""}]",400,1522.0
211,GET,/petclinic/api/vets/1,"{""firstName"":[],""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":0}]",404,1945.0
212,POST,/petclinic/api/vets/1,"{""specialties"":[{""fuzz"":false}",400,1397.0
213,POST,/petclinic/api/specialties/1,"{""id"":[],""name"":0",400,1543.0
214,POST,/petclinic/api/vets,"{""firstName"":""fuzzstring"",""id"":0,""lastName"":{""fuzz"":false},""specialties"":[{""name"":{""fuzz"":false}}]",400,1574.0
215,POST,/petclinic/api/vets,"{""firstName"":false,""firstName"":""fuzzstring"",""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":""fuzzstring""}]",400,1326.0
216,PUT,/petclinic/api/vets/1,"{""firstName"":{""fuzz"":false},""id"":0,""lastName"":""fuzzstring"",""specialties"":[{""id"":0,""name"":{""fuzz"":false}}]",400,1484.0
